ts_sec,rel_ms,current_mA
1757011766.247471,16098.874,0.060
1757011766.249540,16100.943,0.060
1757011766.251609,16103.012,0.060
1757011766.253677,16105.080,0.060
1757011766.255747,16107.150,0.060
1757011766.257816,16109.219,0.060
1757011766.259885,16111.289,0.060
1757011766.261954,16113.357,0.060
1757011766.264027,16115.431,0.060
1757011766.266096,16117.499,0.060
1757011766.268165,16119.568,0.060
1757011766.270234,16121.637,0.060
1757011766.272303,16123.706,0.060
1757011766.274372,16125.775,0.060
1757011766.276441,16127.845,0.060
1757011766.278510,16129.914,0.060
1757011766.280577,16131.981,0.060
1757011766.282647,16134.050,0.060
1757011766.284713,16136.117,0.060
1757011766.286783,16138.186,0.060
1757011766.288848,16140.252,0.060
1757011766.290918,16142.321,0.060
1757011766.292987,16144.390,0.060
1757011766.295056,16146.460,0.060
1757011766.297125,16148.528,0.060
1757011766.299194,16150.597,0.060
1757011766.301262,16152.665,0.060
1757011766.303330,16154.734,0.060
1757011766.305399,16156.803,0.060
1757011766.307467,16158.871,0.060
1757011766.309536,16160.939,0.060
1757011766.311605,16163.008,0.060
1757011766.313673,16165.077,0.060
1757011766.315742,16167.146,0.060
1757011766.317812,16169.216,0.060
1757011766.319882,16171.285,0.060
1757011766.321952,16173.355,0.060
1757011766.324030,16175.434,0.060
1757011766.326100,16177.504,0.060
1757011766.328170,16179.573,0.060
1757011766.330238,16181.641,0.060
1757011766.332304,16183.708,0.060
1757011766.334374,16185.777,0.060
1757011766.336442,16187.845,0.060
1757011766.338510,16189.914,0.060
1757011766.340576,16191.979,0.060
1757011766.342644,16194.047,0.060
1757011766.344710,16196.114,0.060
1757011766.346779,16198.182,0.060
1757011766.348847,16200.250,0.060
1757011766.350915,16202.319,0.060
1757011766.352982,16204.386,0.060
1757011766.355051,16206.454,0.060
1757011766.357118,16208.522,0.060
1757011766.359187,16210.590,0.060
1757011766.361255,16212.659,0.060
1757011766.363325,16214.728,0.060
1757011766.365393,16216.796,0.060
1757011766.367462,16218.866,0.060
1757011766.369534,16220.937,0.060
1757011766.371603,16223.006,0.060
1757011766.373672,16225.075,0.060
1757011766.375741,16227.144,0.060
1757011766.377810,16229.213,0.060
1757011766.379879,16231.283,0.060
1757011766.381948,16233.352,0.060
1757011766.384020,16235.423,0.060
1757011766.386088,16237.492,0.060
1757011766.388158,16239.561,0.060
1757011766.390226,16241.630,0.060
1757011766.392292,16243.696,0.060
1757011766.394361,16245.764,0.060
1757011766.396430,16247.834,0.060
1757011766.398499,16249.903,0.060
1757011766.400567,16251.970,0.060
1757011766.402636,16254.039,0.060
1757011766.404703,16256.106,0.060
1757011766.406772,16258.175,0.060
1757011766.408839,16260.243,0.060
1757011766.410910,16262.314,0.060
1757011766.412979,16264.383,0.060
1757011766.415048,16266.452,0.060
1757011766.417117,16268.521,0.060
1757011766.419187,16270.590,0.060
1757011766.421255,16272.658,0.060
1757011766.423324,16274.727,0.060
1757011766.425394,16276.797,0.060
1757011766.427462,16278.865,0.060
1757011766.429530,16280.934,0.060
1757011766.431599,16283.003,0.060
1757011766.433668,16285.072,0.060
1757011766.435737,16287.141,0.060
1757011766.437806,16289.209,0.060
1757011766.439874,16291.278,0.060
1757011766.441943,16293.346,0.060
1757011766.444028,16295.431,0.060
1757011766.446097,16297.500,0.060
1757011766.448165,16299.568,0.060
1757011766.450234,16301.638,0.060
1757011766.452301,16303.705,0.060
1757011766.454370,16305.774,0.060
1757011766.456438,16307.842,0.060
1757011766.458507,16309.910,0.060
1757011766.460574,16311.978,0.060
1757011766.462648,16314.051,0.060
1757011766.464716,16316.119,0.060
1757011766.466784,16318.188,0.060
1757011766.468853,16320.256,0.060
1757011766.470922,16322.325,0.060
1757011766.472991,16324.394,0.060
1757011766.475060,16326.463,0.060
1757011766.477128,16328.531,0.060
1757011766.479196,16330.600,0.060
1757011766.481264,16332.667,0.060
1757011766.483332,16334.736,0.060
1757011766.485401,16336.804,0.060
1757011766.487470,16338.874,0.060
1757011766.489540,16340.944,0.060
1757011766.491609,16343.013,0.060
1757011766.493677,16345.081,0.060
1757011766.495747,16347.150,0.060
1757011766.497816,16349.219,0.060
1757011766.499885,16351.288,0.060
1757011766.501954,16353.357,0.060
1757011766.504024,16355.427,0.060
1757011766.506093,16357.496,0.060
1757011766.508161,16359.565,0.060
1757011766.510231,16361.634,0.060
1757011766.512297,16363.700,0.060
1757011766.514367,16365.770,0.060
1757011766.516437,16367.840,0.060
1757011766.518505,16369.908,0.060
1757011766.520572,16371.975,0.060
1757011766.522640,16374.044,0.060
1757011766.524708,16376.112,0.060
1757011766.526776,16378.180,0.060
1757011766.528843,16380.247,0.060
1757011766.530912,16382.316,0.060
1757011766.532980,16384.384,0.060
1757011766.535049,16386.452,0.060
1757011766.537116,16388.519,0.060
1757011766.539185,16390.588,0.060
1757011766.541256,16392.659,0.060
1757011766.543325,16394.729,0.060
1757011766.545396,16396.799,0.060
1757011766.547464,16398.868,0.060
1757011766.549536,16400.939,0.060
1757011766.551605,16403.008,0.060
1757011766.553675,16405.079,0.060
1757011766.555744,16407.148,0.060
1757011766.557813,16409.217,0.060
1757011766.559883,16411.287,0.060
1757011766.561952,16413.356,0.060
1757011766.564025,16415.429,0.060
