ts_sec,rel_ms,current_mA
1757368285.850923,25419.014,0.060
1757368285.852991,25421.082,0.060
1757368285.855061,25423.152,0.060
1757368285.857129,25425.220,0.060
1757368285.859197,25427.288,0.060
1757368285.861265,25429.357,0.060
1757368285.863335,25431.426,0.060
1757368285.865405,25433.496,0.060
1757368285.867473,25435.565,0.060
1757368285.869546,25437.637,0.060
1757368285.871615,25439.706,0.060
1757368285.873683,25441.774,0.060
1757368285.875752,25443.843,0.060
1757368285.877823,25445.914,0.060
1757368285.879891,25447.983,0.060
1757368285.881962,25450.053,0.060
1757368285.884022,25452.113,0.060
1757368285.886091,25454.182,0.060
1757368285.888159,25456.250,0.060
1757368285.890238,25458.329,0.060
1757368285.892306,25460.397,0.060
1757368285.894377,25462.468,0.060
1757368285.896446,25464.537,0.060
1757368285.898515,25466.606,0.060
1757368285.900581,25468.673,0.060
1757368285.902651,25470.742,0.060
1757368285.904720,25472.811,0.060
1757368285.906789,25474.880,0.060
1757368285.908860,25476.951,0.060
1757368285.910930,25479.021,0.060
1757368285.913004,25481.095,0.060
1757368285.915073,25483.165,0.060
1757368285.917145,25485.237,0.060
1757368285.919214,25487.306,0.060
1757368285.921284,25489.375,0.060
1757368285.923354,25491.445,0.060
1757368285.925425,25493.516,0.060
1757368285.927495,25495.586,0.060
1757368285.929564,25497.655,0.060
1757368285.931634,25499.725,0.060
1757368285.933703,25501.794,0.060
1757368285.935772,25503.863,0.060
1757368285.937842,25505.933,0.060
1757368285.939923,25508.014,0.060
1757368285.941999,25510.090,0.060
1757368285.944067,25512.159,0.060
1757368285.946138,25514.230,0.060
1757368285.948208,25516.299,0.060
1757368285.950279,25518.370,0.060
1757368285.952348,25520.439,0.060
1757368285.954417,25522.509,0.060
1757368285.956486,25524.577,0.060
1757368285.958556,25526.647,0.060
1757368285.960626,25528.717,0.060
1757368285.962696,25530.787,0.060
1757368285.964764,25532.855,0.060
1757368285.966833,25534.924,0.060
1757368285.968903,25536.994,0.060
1757368285.970978,25539.070,0.060
1757368285.973047,25541.138,0.060
1757368285.975116,25543.207,0.060
1757368285.977184,25545.275,0.060
1757368285.979252,25547.343,0.060
1757368285.981321,25549.412,0.060
1757368285.983391,25551.482,0.060
1757368285.985460,25553.551,0.060
1757368285.987529,25555.620,0.060
1757368285.989598,25557.689,0.060
1757368285.991667,25559.758,0.060
1757368285.993737,25561.829,0.060
1757368285.995806,25563.897,0.060
1757368285.997875,25565.966,0.060
1757368285.999944,25568.035,0.060
1757368286.002013,25570.104,0.060
1757368286.004082,25572.173,0.060
1757368286.006153,25574.244,0.060
1757368286.008224,25576.315,0.060
1757368286.010293,25578.385,0.060
1757368286.012362,25580.453,0.060
1757368286.014431,25582.522,0.060
1757368286.016519,25584.610,0.060
1757368286.018598,25586.689,0.060
1757368286.020667,25588.758,0.060
1757368286.022737,25590.828,0.060
1757368286.024807,25592.898,0.060
1757368286.026876,25594.967,0.060
1757368286.028946,25597.038,0.060
1757368286.031016,25599.107,0.060
1757368286.033085,25601.176,0.060
1757368286.035154,25603.245,0.060
1757368286.037222,25605.313,0.060
1757368286.039291,25607.382,0.060
1757368286.041373,25609.464,0.060
1757368286.043443,25611.534,0.060
1757368286.045511,25613.603,0.060
1757368286.047581,25615.672,0.060
1757368286.049650,25617.742,0.060
1757368286.051720,25619.811,0.060
1757368286.053789,25621.881,0.060
1757368286.055859,25623.950,0.060
1757368286.057929,25626.020,0.060
